id,longitude,latitude,date,time
489,144.96306,-37.81363,2021-12-15,09:20
490,153.03374,-27.456202,2021-12-14,16:15
491,153.0332,-27.456678,2021-12-14,07:48
492,153.0332,-27.456678,2021-12-14,18:25
493,153.03986,-27.455223,2021-12-14,00:00
494,153.03305,-27.456768,2021-12-14,16:38
495,153.03305,-27.456768,2021-12-14,16:38
496,153.0261,-27.44926,2021-12-14,16:30
497,153.0332,-27.456678,2021-12-14,07:10
498,153.03363,-27.456196,2021-12-14,16:35
499,153.02982,-27.446283,2021-12-14,07:20
500,153.07373,-27.437868,2021-12-14,08:00
501,153.05507,-27.419394,2021-12-14,14:00
502,153.06052,-27.4091,2021-12-14,19:30
503,153.06052,-27.4091,2021-12-14,19:30
504,153.06052,-27.4091,2021-12-14,19:30
505,153.02269,-27.389664,2021-12-14,07:30
506,153.02628,-27.386877,2021-12-14,07:15
507,153.03522,-27.356163,2021-12-14,13:10
508,153.00746,-27.437973,2021-12-14,19:15
509,152.99306,-27.394196,2021-12-14,08:15
510,152.98254,-27.57613,2021-12-14,18:15
511,152.98282,-27.57608,2021-12-14,20:00
512,153.03459,-27.499573,2021-12-14,07:00
513,153.03546,-27.487265,2021-12-14,16:50
514,153.03586,-27.490223,2021-12-14,07:20
515,153.03532,-27.48688,2021-12-14,16:45
516,153.06473,-27.57303,2021-12-14,21:30
517,153.06812,-27.559622,2021-12-14,22:45
518,153.06413,-27.573238,2021-12-14,22:55
519,153.0353,-27.592146,2021-12-14,05:00
520,153.04414,-27.498156,2021-12-14,12:20
521,153.05597,-27.515146,2021-12-14,16:00
522,153.08223,-27.562614,2021-12-14,15:30
523,153.0827,-27.562737,2021-12-14,15:30
524,153.09488,-27.533422,2021-12-14,16:40
525,153.0792,-27.54196,2021-12-14,17:50
526,153.13844,-27.67085,2021-12-14,00:00
527,153.10242,-27.502928,2021-12-14,17:20
528,153.10197,-27.503092,2021-12-14,17:20
529,153.10162,-27.49536,2021-12-14,18:30
530,153.23677,-27.509737,2021-12-14,17:45
531,153.07997,-27.466047,2021-12-14,17:25
532,153.07848,-27.465942,2021-12-14,18:35
533,153.36504,-28.08043,2021-12-14,13:35
534,153.39742,-28.067734,2021-12-14,07:48
535,153.37799,-28.071367,2021-12-14,18:25
536,153.37799,-28.071367,2021-12-14,19:45
537,153.38557,-28.078892,2021-12-14,06:30
538,152.87158,-27.645788,2021-12-14,10:40
539,152.75722,-27.61574,2021-12-14,11:40
540,150.32362,-28.54671,2021-12-14,09:00
541,150.31161,-28.547543,2021-12-14,11:30
542,150.30554,-28.54702,2021-12-14,11:08
543,149.79391,-25.641897,2021-12-14,19:00
544,149.79617,-25.64323,2021-12-14,06:00
545,152.98947,-27.30727,2021-12-14,19:00
546,152.9806,-27.281668,2021-12-14,07:50
547,152.9806,-27.281668,2021-12-14,07:50
548,152.95657,-27.282455,2021-12-14,08:15
549,152.98218,-27.281164,2021-12-14,21:15
550,153.00966,-27.239351,2021-12-14,07:00
551,153.065,-26.401112,2021-12-14,12:00
552,153.0652,-26.400827,2021-12-14,12:40
553,153.09138,-26.398281,2021-12-14,10:00
554,153.08914,-26.386784,2021-12-14,11:00
555,153.092,-26.38669,2021-12-14,18:37
556,153.08748,-26.386362,2021-12-14,17:29
557,153.09166,-26.387442,2021-12-14,20:30
558,153.09062,-26.38642,2021-12-14,16:30
559,149.18065,-21.17177,2021-12-14,21:35
560,146.81557,-19.260666,2021-12-14,20:25
561,146.8208,-19.260376,2021-12-14,19:11
562,146.7668,-19.24705,2021-12-14,17:30
563,153.02504,-27.479795,2021-12-13,13:40
564,153.02988,-27.466347,2021-12-13,19:00
565,153.02988,-27.466347,2021-12-13,19:00
566,153.02748,-27.47234,2021-12-13,18:45
567,153.02748,-27.47234,2021-12-13,18:45
568,153.04012,-27.456316,2021-12-13,21:00
569,153.04012,-27.456316,2021-12-13,21:00
570,153.10724,-27.39723,2021-12-13,18:05
571,153.10724,-27.39723,2021-12-13,18:05
572,153.12183,-27.394215,2021-12-13,14:05
573,153.12183,-27.394215,2021-12-13,12:15
574,153.11894,-27.386093,2021-12-13,21:15
575,153.12032,-27.385176,2021-12-13,12:25
576,153.11923,-27.388033,2021-12-13,12:42
577,153.11923,-27.388033,2021-12-13,12:45
578,153.07373,-27.437868,2021-12-13,08:00
579,153.03229,-27.382994,2021-12-13,09:00
580,152.98009,-27.409798,2021-12-13,09:00
581,152.99306,-27.394196,2021-12-13,08:15
